id,strike,dip,lon,lat
1,45,10,-88.105858,48.626429
2,50,12,-88.086154,48.637185
3,56,14,-88.071961,48.640811
4,45,12,-88.040901,48.655732
5,45,10,-88.041813,48.661489
6,41,28,-88.051541,48.661051
7,59,20,-88.02468,48.678061
8,60,18,-88.026006,48.680014
9,55,20,-88.059464,48.676652
10,44,30,-88.069591,48.664307
11,42,30,-88.071931,48.657548
12,42,40,-88.078124,48.65743
13,30,35,-88.085245,48.651106
14,30,20,-88.082939,48.648101
15,25,30,-88.09761,48.646972
16,20,45,-88.10232,48.639491
17,20,25,-88.112976,48.634582
21,20,20,-88.11907,48.636336
22,20,20,-88.119615,48.643347
24,55,20,-88.057319,48.678789
25,50,20,-88.048436,48.692757
26,50,20,-88.06647,48.711501
27,40,10,-88.096557,48.674874
28,40,7,-88.101278,48.677416
29,40,7,-88.102681,48.679736
Puff pmag,69.3,11,-88.03945889,48.657534