,Site,Lithology,Impact direction Peak Temp,HT Lower Bound in sites W/O impact direction,HT Lower Bound in sites WITH impact direction,Site Latitude,Site Longitude,impact_dir?,site_dec,site_inc,site_alpha95,site_k,site_n,site_n_lines,site_r,site_comp_name,Notes,correction_az,correction_dip
0,DeI3,basaltic dike,,300.0,,48.69377,-86.98657,n,,,,,,,,,impact direction not present,,
1,MI1,basaltic dike,300.0,,350.0,48.68557,-87.02888,y,35.3,57.9,8.4,34.0,10.0,10.0,9.7343,MT1,,141.10976450940268,34.79941002537202
2,MI2,basaltic dike,525.0,,,48.68116,-87.0216,y,105.4,56.1,12.0,26.0,7.0,7.0,6.7715,HT1,"HT near impact direction, near breccia dike?",25.683176628244155,14.575626931753336
3,McI1,basaltic dike,325.0,,350.0,48.66639,-87.014,y,106.3,49.5,15.7,13.0,8.0,8.0,7.4759,MT1,,0.9171057903890869,16.241356837508565
4,PI1,basaltic dike,325.0,,350.0,48.65229,-87.0073,y,99.9,75.1,7.7,77.0,6.0,6.0,5.9353,MT1,,77.69957295332762,24.7217454180794
5,PI3,basaltic dike,275.0,,450.0,48.634069000000004,-87.0348,y,69.0,45.1,9.1,33.0,9.0,9.0,8.7588,MT1,,188.47158789331232,16.692841754735134
6,PI4,basaltic dike,275.0,,300.0,48.644459999999995,-87.00859,y,63.5,57.2,22.7,8.0,7.0,7.0,6.2529,MT1,,145.20825592765289,17.487360196267314
7,PI6,basaltic dike,350.0,,500.0,48.640159999999995,-87.02009,y,94.7,28.1,10.3,44.0,6.0,6.0,5.8855,MT1,,293.46522361884524,24.833453697275555
8,PI7,basaltic dike,,,,48.62576,-86.99717,n,,,,,,,,,"inconsistent pmag data, cannot properly evaluate site",,
9,PI14,basaltic dike,300.0,,350.0,48.62924,-87.02806,y,28.4,60.7,3.8,407.0,5.0,5.0,4.9902,MT1,,134.93790921804228,37.28361084917991
10,PI17,basaltic dike,350.0,,500.0,48.66075,-87.00741,y,35.4,68.1,4.2,173.0,8.0,8.0,7.9595,MT1,,123.00180960709928,32.03810752824141
11,PI18,basaltic dike,350.0,,450.0,48.65787,-87.00995,y,98.7,63.1,10.8,52.0,5.0,5.0,4.9225,MT1,,59.53117014785715,14.22665055190179
12,PI20,basaltic dike,350.0,,525.0,48.66238,-87.01626,y,47.4,68.5,5.5,70.0,11.0,11.0,10.8567,MT1,,120.55941722016514,27.282731864142555
13,PI2b,lava flow,300.0,,325.0,48.64648,-87.05714,y,87.2,66.7,13.2,27.0,6.0,6.0,5.813,MT,HT is similar to impact direction however there is an additional deflection in direction between the impact direction and the HT,85.57909731282962,15.603884227438527
14,PI8,lava flow,275.0,,400.0,48.63946,-87.05516,y,90.7,40.4,11.6,35.0,6.0,6.0,5.8553,MT,,289.0727384326535,11.405828491591336
15,PI9,lava flow,275.0,,325.0,48.63946,-87.05516,y,89.3,49.5,9.0,56.0,6.0,6.0,5.9113,MT,,322.43472011740334,2.75313625179333
16,PI10,lava flow,275.0,,400.0,48.63946,-87.05516,y,91.9,37.0,16.1,34.0,4.0,4.0,3.911,MT,,290.40024199373363,15.091075060480815
17,PI11,lava flow,275.0,,350.0,48.63946,-87.05516,y,82.6,48.7,5.8,173.0,5.0,5.0,4.9768,MT,,210.06370168938457,4.1328885459983935
18,PI12,lava flow,300.0,,400.0,48.63946,-87.05516,y,96.3,39.4,6.0,101.0,7.0,7.0,6.9407,MT,,310.834632943456,15.049033292431346
19,PI13,lava flow,300.0,,400.0,48.63946,-87.05516,y,104.5,34.5,16.6,17.0,6.0,6.0,5.7103,MT,,324.9279834404161,24.961439888482595
20,BI1,basaltic dike,375.0,,475.0,48.676834,-87.002975,y,74.8,51.5,5.9,90.0,8.0,8.0,7.9224,MT,,168.28569597183372,9.42396491897027
21,PI23,basaltic dike,,100.0,,48.66488,-86.96163,n,,,,,,,,,impact direction not present,,
22,PI25,basaltic dike,,150.0,,48.64828,-86.95586999999999,n,,,,,,,,,impact direction not present,,
23,PI27,basaltic dike,580.0,,,48.646770000000004,-86.95636,y,94.9,39.3,15.0,13.0,9.0,9.0,8.3738,HT,"HT near impact direction, near breccia dike?",305.63595926451137,14.323268294875637
24,PI28,basaltic dike,550.0,,,48.64164,-86.9591,y,78.0,68.0,10.9,72.0,4.0,4.0,3.9583,HT,"HT near impact direction, near breccia dike?",98.86982806535877,17.57213409631581
25,PI29,basaltic dike,325.0,,400.0,48.63671,-86.957936,y,78.0,37.6,12.8,23.0,7.0,7.0,6.7403,MT,,229.2817565505129,16.024330519795893
26,PI30,basaltic dike,350.0,,500.0,48.63646,-86.95557,y,99.1,36.5,7.9,51.0,8.0,8.0,7.8616,MT,,314.5670871451574,19.36274823947164
27,PI43,basaltic dike,580.0,,,48.65198,-87.0576219,y,93.7,47.5,14.7,9.0,13.0,13.0,11.6496,HT,"HT near impact direction, near breccia dike?",329.6548827588923,7.073804992822438
28,PI45,basaltic dike,275.0,,315.0,48.65549,-87.04467,y,73.5,72.8,4.8,92.0,11.0,11.0,10.8917,LT,HT is similar to impact direction however there is an additional deflection in direction between the impact direction and the HT,97.75305662692274,22.606524932976544
29,PI32,lava flow,300.0,,425.0,48.6425,-87.057408,y,76.5,49.8,6.4,77.0,8.0,8.0,7.9087,MT,,180.38684508266488,8.414723359123524
30,PI33,lava flow,325.0,,400.0,48.6425,-87.057408,y,67.1,48.1,20.0,16.0,5.0,5.0,4.7434,MT,,177.0018679724694,16.660119824028857
31,PI34,lava flow,570.0,,,48.6425,-87.057408,y,53.3,76.3,8.5,44.0,8.0,8.0,7.8406,MT,"HT near impact direction, near breccia dike?",103.42457436488972,28.798235748388475
32,PI35,lava flow,300.0,,400.0,48.6425,-87.057408,y,70.6,56.7,19.3,13.0,6.0,6.0,5.6172,MT,,143.08828124942968,12.83203572969498
33,PI36,lava flow,325.0,,350.0,48.6425,-87.057408,y,78.6,37.2,21.7,7.0,8.0,8.0,7.0658,MT,,232.0201276318842,16.079269194610042
34,PI37,lava flow,,300.0,,48.6425,-87.057408,n,,,,,,,,,impact direction not present,,
35,PI38,lava flow,250.0,,300.0,48.6425,-87.057408,y,119.9,62.6,15.4,26.0,5.0,5.0,4.8444,MT,,40.52169858700563,23.779108840599978
36,PI39,lava flow,,400.0,,48.6425,-87.057408,n,,,,,,,,,impact direction not present,,
37,PI40,lava flow,550.0,,,48.6425,-87.057408,y,84.4,53.0,5.8,93.0,8.0,8.0,7.9249,HT,"HT near impact direction, near breccia dike?",127.58356956007228,2.559404158086041
38,PI41,lava flow,300.0,,400.0,48.6425,-87.057408,y,95.0,44.7,6.2,71.0,9.0,9.0,8.8866,MT,,320.68311098787,9.891502030933637
