lon,lat,id,Site,Trend,Plunge,Inv_plunge,X,Y
-86.97175115,48.6688108,17,17,276,-57,-0.02,502080,5390640
-86.97839501,48.68215523,16,16,212,-15,-0.07,501590,5392124
-86.94290514,48.68505734,18,18,321,-35,-0.03,504202,5392448
-87.01555068,48.67947003,11,11,210,-23,-0.04,498855,5391825
-87.04658533,48.67117782,10,10,156,-16,-0.06,496570,5390904
-87.02614317,48.6630054,12,12,145,-46,-0.02,498075,5389995
-87.04217656,48.6561128,9,9,161,-53,-0.02,496894,5389229
-87.05251415,48.65538343,8,8,172,-32,-0.03,496133,5389149
-87.0577273,48.65148185,7,7,100,-9,-0.11,495748,5388715
-87.05871598,48.64811346,6,6,52,-39,-0.03,495675,5388341
-87.05750974,48.64173437,4,4,84,-21,-0.05,495764,5387632
-87.05786333,48.6412805,5,5,59,-26,-0.04,495737,5387581
-87.05629559,48.63945866,3,3,61,-28,-0.04,495853,5387379
-87.05557404,48.63916066,2,2,81,-16,-0.06,495906,5387346
-87.03013758,48.63788301,30,30,262,-65,-0.02,497780,5387203
-87.02113322,48.64378731,29,29,320,-23,-0.04,498443,5387859
-87.03009346,48.64878214,14,14,83,-35,-0.03,497783,5388414
-87.03271731,48.62575321,28,28,351,-22,-0.05,497589,5385854
-87.025148,48.62419571,27,27,6,-9,-0.11,498147,5385681
-86.99731694,48.62572651,25,25,353,-5,-0.2,500198,5385851
-86.97307476,48.6284426,24,24,260,-6,-0.17,501984,5386153
-86.97015428,48.62932915,23,23,14,-1,-1,502199,5386252
-86.99665053,48.63552184,26,26,329,-56,-0.02,500247,5386940
-86.95946888,48.64146205,22,22,339,-60,-0.02,502986,5387601
-86.95655411,48.653119,21,21,261,-42,-0.02,503200,5388897
-86.95854955,48.66013672,20,20,254,-21,-0.05,503052,5389677
-86.93548234,48.67643849,19,19,268,-35,-0.03,504749,5391490
-87.02581489,48.65807577,13,13,149,-50,-0.02,498099,5389447
-87.00169166,48.65404527,15,15,18,-37,-0.03,499875,5388999